,back_legroom,body_type,dealer_zip,engine_type,exterior_color,front_legroom,fuel_tank_volume,fuel_type,has_accidents,horsepower,interior_color,is_new,make_name,maximum_seating,price,theft_title,torque,transmission,transmission_display,wheel_system,wheelbase,year
233869,--,Convertible,01803,H6,Aventurine Green,--,16.9 gal,Gasoline,,443.0,Green (HB/Club Leather in),True,Porsche,4 seats,147350.0,,390 lb-ft @ 2300 RPM,M,7-Speed Manual,RWD,96.5 in,2020
233871,--,SUV / Crossover,01803,,Black,--,19.8 gal,,False,400.0,None,False,Porsche,5 seats,74998.0,False,406 lb-ft @ 1350 RPM,A,Automatic,AWD,110.5 in,2018
233883,--,Coupe,01803,H6,Blue,41.6 in,16.9 gal,Gasoline,False,420.0,None,False,Porsche,4 seats,119998.0,False,368 lb-ft @ 1700 RPM,A,Automatic,AWD,96.5 in,2019
233887,--,SUV / Crossover,04105,V6,Moonlight Blue,--,23.7 gal,Gasoline,,335.0,Slate Gray,True,Porsche,5 seats,81940.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
233888,--,Convertible,01803,H6,GT Silver Metal,--,17.6 gal,Gasoline,,443.0,Black,True,Porsche,4 seats,160610.0,,390 lb-ft @ 2300 RPM,A,8-Speed Automatic,AWD,96.5 in,2020
233902,--,SUV / Crossover,04105,V6,Quartzite Gray Metallic,--,23.7 gal,Gasoline,,335.0,Black/Mojave Beige,True,Porsche,5 seats,82140.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
233903,--,Convertible,01803,H6,Aventurine Green,--,17.6 gal,Gasoline,,443.0,Green (HB/Club Leather in),True,Porsche,4 seats,162400.0,,390 lb-ft @ 2300 RPM,A,8-Speed Automatic,AWD,96.5 in,2020
233906,--,Coupe,04105,V6,Dolomite Silver Metallic,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,85810.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
233917,--,SUV / Crossover,04105,V6,Mahogany Metallic,--,23.7 gal,Gasoline,False,440.0,Black/Mojave Beige,False,Porsche,5 seats,86573.0,False,405 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,114 in,2019
233934,--,Coupe,04105,V6,Carrera White,--,23.7 gal,Gasoline,,335.0,Slate Gray,True,Porsche,5 seats,87990.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
233935,--,SUV / Crossover,04105,V6,Black,--,23.7 gal,Gasoline,False,440.0,Slate Gray,False,Porsche,5 seats,88778.0,False,405 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,114 in,2019
233942,--,Sedan,01803,V8,N5 Night Blue Meta,--,23.7 gal,Gasoline,,550.0,Blue (BP/Leather Interio),True,Porsche,4 seats,187990.0,,567 lb-ft @ 1960 RPM,A,8-Speed Automatic,AWD,116.1 in,2019
233960,--,Convertible,01803,H6,GT Silver,41.6 in,17.9 gal,Gasoline,,540.0,Silver (BM/Leather Interio),True,Porsche,4 seats,200830.0,,,A,Automatic,AWD,96.5 in,2019
233963,,Sedan,01803,,Jet Black,,,Electric,,,Black (QL/Leather Interio),True,Porsche,,206950.0,,,A,2-Speed Automatic,AWD,,2020
233975,--,Sedan,04105,V6,White,--,23.7 gal,Gasoline,False,330.0,Black,False,Porsche,4 seats,99915.0,False,331 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,116.1 in,2019
233985,,Sedan,01803,,JET Black,,,Electric,,,Black,True,Porsche,,207900.0,,,A,2-Speed Automatic,AWD,,2020
233987,--,Coupe,01803,H4,Night Blue Metallic,41.6 in,16.9 gal,Gasoline,False,350.0,Brown (Luxor Beige),False,Porsche,2 seats,61998.0,False,309 lb-ft @ 1900 RPM,A,Automatic,RWD,97.4 in,2017
233998,,Sedan,04105,,Dolomite Silver Metallic,,,Electric,,,Graphite Blue,True,Porsche,,128250.0,,,A,2-Speed Automatic,AWD,,2020
234002,--,Coupe,01803,H6,Red,41.6 in,17.9 gal,Gasoline,False,580.0,None,False,Porsche,4 seats,179998.0,False,,A,Automatic,AWD,96.5 in,2018
234008,--,SUV / Crossover,01803,V6,White,--,19.8 gal,Gasoline,False,400.0,None,False,Porsche,5 seats,62998.0,False,406 lb-ft @ 1350 RPM,A,Automatic,AWD,110.5 in,2017
234012,,SUV / Crossover,01803,V6,Black,,,Gasoline,False,,None,False,Porsche,,45998.0,False,,A,Automatic,,,2018
234016,--,Coupe,04105,V8,Black,--,23.7 gal,Gasoline,,541.0,Truffle Brown,True,Porsche,5 seats,139190.0,,568 lb-ft @ 1960 RPM,A,8-Speed Automatic,AWD,114 in,2020
234029,--,Convertible,04105,H6,Gentian Blue Metallic,--,16.9 gal,Gasoline,,443.0,Slate Gray,True,Porsche,4 seats,140510.0,,390 lb-ft @ 2300 RPM,A,8-Speed Automatic,RWD,96.5 in,2020
234033,,Sedan,04105,,Carrera White,,,Electric,,,Black,True,Porsche,,165670.0,,,A,2-Speed Automatic,AWD,,2020
234036,--,SUV / Crossover,01803,I4,Volcano Grey,--,19.8 gal,Gasoline,,248.0,Black,True,Porsche,5 seats,54720.0,,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2020
234040,--,SUV / Crossover,01803,V6,Gray,--,19.8 gal,Gasoline,False,340.0,None,False,Porsche,5 seats,46698.0,False,339 lb-ft @ 1450 RPM,A,Automatic,AWD,110.5 in,2017
234050,--,SUV / Crossover,01803,I4,Night Blue,--,19.8 gal,Gasoline,,248.0,Black,True,Porsche,5 seats,56510.0,,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2020
234053,--,Coupe,01803,H4,Night Blue,41.6 in,16.9 gal,Gasoline,False,365.0,Blue,False,Porsche,2 seats,79120.0,False,309 lb-ft @ 1900 RPM,A,Automatic,RWD,97.4 in,2019
234069,--,SUV / Crossover,01803,V6,Black,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,79600.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
234076,--,Sedan,01803,V8,Night Blue Metallic,--,23.7 gal,Gasoline,False,550.0,Black,False,Porsche,4 seats,167990.0,False,567 lb-ft @ 1960 RPM,A,8-Speed Automatic,AWD,116.1 in,2019
234089,--,SUV / Crossover,01803,V6,Dolomite Silver,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,82460.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
234091,--,SUV / Crossover,01803,V6,Mahogany,--,23.7 gal,Gasoline,,335.0,Brown (AL/Leather Interio),True,Porsche,5 seats,85760.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
234106,--,Convertible,01803,H6,GT SILVER,41.6 in,17.9 gal,Gasoline,False,540.0,Black,False,Porsche,4 seats,191830.0,False,,A,7-Speed Automatic,AWD,96.5 in,2019
234107,--,Coupe,01803,H4,Night Blue,41.6 in,16.9 gal,Gasoline,,365.0,Blue (GQ/Leather/Alcanta),True,Porsche,2 seats,99120.0,,309 lb-ft @ 1900 RPM,A,Automatic,RWD,97.4 in,2019
234110,--,SUV / Crossover,01803,V6,Cashmere Beige,--,23.7 gal,Gasoline,,335.0,BLACK/BEIGE,True,Porsche,5 seats,89540.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
234128,--,SUV / Crossover,01803,V6,Moonlight Blue,--,19.8 gal,Gasoline,,455.0,Black,True,Porsche,5 seats,101590.0,,516 lb-ft @ 1000 RPM,A,8-Speed Automatic,AWD,114 in,2020
234136,--,SUV / Crossover,01803,V6,Jet Black,--,19.8 gal,Gasoline,,434.0,Black (VU/Leather Package),True,Porsche,5 seats,99190.0,,405 lb-ft @ 1800 RPM,A,7-Speed Automatic,AWD,110.6 in,2020
234148,--,Coupe,01803,V6,Black,--,23.7 gal,Gasoline,,434.0,Black (AM/Standard Interi),True,Porsche,5 seats,102120.0,,405 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,114 in,2020
234163,--,SUV / Crossover,01803,V6,Dolomite Silver,--,23.7 gal,Gasoline,,434.0,Black,True,Porsche,5 seats,108270.0,,405 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,114 in,2020
234966,33.3 in,Sedan,02061,V6,Yachting Blue Metallic,41.9 in,26.4 gal,Gasoline,True,300.0,Brown (Luxor Beige),False,Porsche,4 seats,26995.0,False,295 lb-ft @ 3750 RPM,A,7-Speed Automatic,AWD,114.9 in,2011
235122,--,Convertible,01545,H6,Silver,41.6 in,16 gal,Gasoline,False,315.0,Red,False,Porsche,4 seats,26998.0,False,273 lb-ft @ 4250 RPM,M,6-Speed Manual Overdrive,AWD,92.6 in,2003
235407,--,Coupe,01545,H6,Yellow,41.6 in,17.9 gal,Gasoline,False,520.0,Black,False,Porsche,4 seats,119998.0,False,487 lb-ft @ 1950 RPM,A,7-Speed Automatic,AWD,96.5 in,2015
235488,--,Sedan,01545,V8,Carmine Red,--,23.7 gal,Gasoline,False,550.0,Black,False,Porsche,4 seats,119998.0,False,567 lb-ft @ 1960 RPM,A,8-Speed Automatic,AWD,116.1 in,2018
236109,--,SUV / Crossover,01970,V6,Silver,67 in,26.4 gal,Gasoline,False,300.0,Black,False,Porsche,5 seats,35000.0,False,295 lb-ft @ 3000 RPM,A,Automatic,AWD,114 in,2017
236545,33.3 in,Sedan,01851,V6,Black,41.9 in,26.4 gal,Gasoline,False,420.0,Black,False,Porsche,4 seats,44989.0,False,384 lb-ft @ 5000 RPM,A,Automatic,AWD,114.9 in,2014
237603,,Coupe,02090,H6,GT Silver Metallic,,,Gasoline,,,Black,True,Porsche,,137540.0,,,A,8-Speed Automatic,,,2020
237605,,Coupe,02090,H6,GT Silver Metallic,,,Gasoline,,,Black,True,Porsche,,137320.0,,,A,8-Speed Automatic,,,2020
237609,,Coupe,02090,H6,Gentian Blue Metallic,,,Gasoline,,,Gray,True,Porsche,,138390.0,,,A,8-Speed Automatic,,,2020
237622,--,Coupe,02090,H4,Black,41.6 in,16.9 gal,Gasoline,,350.0,Black,True,Porsche,2 seats,83970.0,,309 lb-ft @ 1900 RPM,A,7-Speed Automatic,RWD,97.4 in,2019
237639,--,SUV / Crossover,02090,V6,moonlight blue metallic,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,84350.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
237663,--,SUV / Crossover,02090,V6,White,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,84620.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
237665,--,SUV / Crossover,02090,V6,moonlight blue metallic,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,84710.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
237673,--,Coupe,02090,H6,Black,41.6 in,17.9 gal,Gasoline,False,540.0,Black,False,Porsche,4 seats,143950.0,False,,A,7-Speed Automatic,AWD,96.5 in,2019
237674,--,Coupe,02090,H6,night blue metallic,41.6 in,16.9 gal,Gasoline,,420.0,Black,True,Porsche,4 seats,139160.0,,368 lb-ft @ 1700 RPM,A,7-Speed Automatic,AWD,96.5 in,2019
237687,--,SUV / Crossover,02090,V6,carrara white metallic,--,19.8 gal,Gasoline,,375.0,Black,True,Porsche,5 seats,85160.0,,383 lb-ft @ 1750 RPM,A,7-Speed Automatic,AWD,110.6 in,2020
237689,--,SUV / Crossover,02090,V6,moonlight blue metallic,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,84850.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
237696,--,Coupe,02090,H6,Carmine Red,41.6 in,16.9 gal,Gasoline,,420.0,Black,True,Porsche,4 seats,139170.0,,368 lb-ft @ 1700 RPM,A,7-Speed Automatic,RWD,96.5 in,2019
237697,,Sedan,02090,,Carrara White,,,Electric,,,Black,True,Porsche,,140940.0,,,A,2-Speed Automatic,AWD,,2020
237701,--,SUV / Crossover,02090,V6,White,67 in,26.4 gal,Gasoline,False,300.0,Black,False,Porsche,5 seats,51991.0,False,295 lb-ft @ 3000 RPM,A,8-Speed Automatic,AWD,114 in,2018
237710,,Sedan,02090,,White,,,Electric,,,Brown (beige),True,Porsche,,144500.0,,,A,2-Speed Automatic,AWD,,2020
237711,--,Coupe,02090,H4,Chalk,41.6 in,16.9 gal,Gasoline,,350.0,Black,True,Porsche,2 seats,87300.0,,309 lb-ft @ 1900 RPM,A,7-Speed Automatic,RWD,97.4 in,2019
237716,--,Coupe,02090,V6,Jet Black Metallic,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,86370.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
237730,--,SUV / Crossover,02090,V6,Black,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,87410.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
237735,--,Convertible,02090,H6,Basalt Black Metallic,41.6 in,18 gal,Gasoline,False,400.0,Black,False,Porsche,4 seats,76991.0,False,325 lb-ft @ 5600 RPM,A,7-Speed Automatic,AWD,96.5 in,2014
237744,--,SUV / Crossover,02090,V6,moonlight blue metallic,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,87870.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
237746,--,Coupe,02090,H6,Chalk,41.6 in,16.9 gal,Gasoline,,420.0,Black,True,Porsche,4 seats,146560.0,,368 lb-ft @ 1700 RPM,A,7-Speed Automatic,RWD,96.5 in,2019
237748,--,Coupe,02090,H6,Dark Blue Metallic,41.6 in,16.9 gal,Gasoline,False,385.0,Yachting Blue,False,Porsche,4 seats,70776.0,False,310 lb-ft @ 4400 RPM,A,7-Speed Automatic,RWD,92.5 in,2012
237750,--,Convertible,02090,H4,White,--,16.9 gal,Gasoline,,350.0,Black,True,Porsche,2 seats,91480.0,,309 lb-ft @ 1900 RPM,A,7-Speed Automatic,RWD,97.4 in,2019
237754,--,Coupe,02090,H4,Racing Yellow,41.6 in,16.9 gal,Gasoline,,365.0,Black,True,Porsche,2 seats,93640.0,,309 lb-ft @ 1900 RPM,A,7-Speed Automatic,RWD,97.4 in,2019
237755,--,SUV / Crossover,02090,V6,Dolomite Silver Metallic,--,23.7 gal,Gasoline,False,335.0,Black,False,Porsche,5 seats,72990.0,False,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
237758,--,SUV / Crossover,02090,V6,Blue Metallic,--,19.8 gal,Gasoline,,455.0,Gray,True,Porsche,5 seats,95830.0,,516 lb-ft @ 1000 RPM,A,8-Speed Automatic,AWD,114 in,2019
237767,--,Coupe,02090,H6,Agate Gray Metallic,41.6 in,16.9 gal,Gasoline,,420.0,Gray (cognac),True,Porsche,4 seats,147880.0,,368 lb-ft @ 1700 RPM,A,7-Speed Automatic,AWD,96.5 in,2019
237768,--,Coupe,02090,H6,Black,--,14.3 gal,Gasoline,False,385.0,Black,False,Porsche,2 seats,94991.0,False,309 lb-ft @ 4750 RPM,M,6-Speed Manual,RWD,97.8 in,2016
237775,--,SUV / Crossover,02090,V6,moonlight blue metallic,--,23.7 gal,Gasoline,,440.0,Black,True,Porsche,5 seats,100660.0,,405 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,114 in,2019
237781,--,SUV / Crossover,02090,V6,White,--,19.8 gal,Gasoline,,434.0,Black,True,Porsche,5 seats,97620.0,,405 lb-ft @ 1800 RPM,A,7-Speed Automatic,AWD,110.6 in,2020
237783,--,Sedan,02090,V8,Dolomite,--,23.7 gal,Gasoline,,453.0,Black,True,Porsche,5 seats,150320.0,,457 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,116.1 in,2020
237788,,Coupe,02090,H6,Lava Orange,,,Gasoline,,,Black,True,Porsche,,152440.0,,,A,8-Speed Automatic,,,2020
237792,,Coupe,02090,H6,Gentian Blue Metallic,,,Gasoline,,,Black,True,Porsche,,152620.0,,,A,8-Speed Automatic,,,2020
237794,--,SUV / Crossover,02090,V6,L5,--,23.7 gal,Gasoline,,440.0,Black,True,Porsche,5 seats,101535.0,,405 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,114 in,2019
237796,,Coupe,02090,H6,dolomite silver metallic,,,Gasoline,,,Gray,True,Porsche,,157040.0,,,A,8-Speed Automatic,,,2020
237797,--,SUV / Crossover,02090,V6,Black,--,23.7 gal,Gasoline,,440.0,Black,True,Porsche,5 seats,104120.0,,405 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,114 in,2019
237799,,Sedan,02090,V6,Black,,,Gasoline,,,Black,True,Porsche,,105010.0,,,A,8-Speed Automatic,,,2019
237803,--,Sedan,02090,V8,carrara white metallic,--,23.7 gal,Gasoline,False,453.0,Black,True,Porsche,4 seats,151360.0,False,457 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,116.1 in,2019
237807,,Sedan,02090,V6,carrara white metallic,,,Gasoline,,,Black,True,Porsche,,106230.0,,,A,8-Speed Automatic,,,2019
237810,--,SUV / Crossover,02090,V6,Quartzite Metallic,--,23.7 gal,Gasoline,,440.0,Gray,True,Porsche,5 seats,104300.0,,405 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,114 in,2019
237814,,Sedan,02090,V6,Blue,,,Gasoline,,,Black,True,Porsche,,108690.0,,,A,8-Speed Automatic,,,2019
237818,,Sedan,02090,V6,Black,,,Gasoline,,,Black,True,Porsche,,108770.0,,,A,8-Speed Automatic,,,2019
237819,33.3 in,Sedan,02090,V6,White,41.9 in,23.7 gal,Gasoline,False,440.0,Black,False,Porsche,4 seats,79991.0,False,405 lb-ft @ 1750 RPM,A,8-Speed Automatic,AWD,116.1 in,2017
237821,,Sedan,02090,V6,Black,,,Gasoline,,,Red,True,Porsche,,110010.0,,,A,8-Speed Automatic,,,2020
237823,,Sedan,02090,,Gentian Blue Metallic,,,Electric,,,Gray,True,Porsche,,166240.0,,,A,2-Speed Automatic,AWD,,2020
237825,--,SUV / Crossover,02090,V8,White,--,23.7 gal,Gasoline,,541.0,Black,True,Porsche,5 seats,157670.0,,568 lb-ft @ 1960 RPM,A,8-Speed Automatic,AWD,114 in,2020
237832,--,SUV / Crossover,02090,V6,Volcano Gray Metallic,--,19.8 gal,Gasoline,False,400.0,Black,False,Porsche,5 seats,67990.0,False,406 lb-ft @ 1350 RPM,A,7-Speed Automatic,AWD,110.5 in,2017
237838,--,Coupe,02090,V6,carrara white metallic,--,23.7 gal,Gasoline,,434.0,Black,True,Porsche,5 seats,112760.0,,405 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,114 in,2020
237839,,Sedan,02090,,Black,,,Electric,,,Black,True,Porsche,,171140.0,,,A,2-Speed Automatic,AWD,,2020
237846,--,Coupe,02090,V6,carrara white metallic,--,23.7 gal,Gasoline,,434.0,Black,True,Porsche,5 seats,112760.0,,405 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,114 in,2020
237847,,Sedan,02090,,Volcano Gray Metallic,,,Electric,,,Black,True,Porsche,,172480.0,,,A,2-Speed Automatic,AWD,,2020
237849,--,SUV / Crossover,02090,V6,moonlight blue metallic,--,19.8 gal,Gasoline,,455.0,Brown (beige),True,Porsche,5 seats,115540.0,,516 lb-ft @ 1000 RPM,A,8-Speed Automatic,AWD,114 in,2019
237851,--,Sedan,02090,V6,Rhodium Silver Metallic,--,23.7 gal,Gasoline,False,330.0,Black/Luxor Beige,False,Porsche,4 seats,79991.0,False,331 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,116.1 in,2018
237857,,Sedan,02090,,dolomite silver metallic,,,Electric,,,Black,True,Porsche,,174030.0,,,A,2-Speed Automatic,AWD,,2020
237858,,,02090,V6,Black,,,Gasoline,,,Black,True,Porsche,,126020.0,,,A,8-Speed Automatic,,,2020
237866,,Sedan,02090,,White,,,Electric,,,Black,True,Porsche,,186830.0,,,A,2-Speed Automatic,AWD,,2020
237875,--,SUV / Crossover,02090,V8,Mahogany Metallic,67 in,26.4 gal,Gasoline,True,520.0,Black/Cohiba Brown,False,Porsche,5 seats,69990.0,False,553 lb-ft @ 2250 RPM,A,8-Speed Automatic,AWD,114 in,2016
237876,--,Coupe,02090,H6,Blue Metallic,--,16.9 gal,Gasoline,,414.0,Black,True,Porsche,2 seats,126960.0,,309 lb-ft @ 5000 RPM,M,6-Speed Manual,RWD,97.8 in,2020
237885,--,Convertible,02090,H6,Black,41.6 in,16.9 gal,Gasoline,True,420.0,Black,False,Porsche,4 seats,139989.0,False,368 lb-ft @ 1700 RPM,A,7-Speed Automatic,AWD,96.5 in,2019
237887,--,Sedan,02090,V8,Chalk,--,23.7 gal,Gasoline,,550.0,Black,True,Porsche,4 seats,188190.0,,567 lb-ft @ 1960 RPM,A,8-Speed Automatic,AWD,116.1 in,2019
237890,--,SUV / Crossover,02090,I4,White,--,19.8 gal,Gasoline,,248.0,White (Agate),True,Porsche,5 seats,62050.0,,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2020
237895,--,Coupe,02090,H6,Black,--,16.9 gal,Gasoline,,414.0,Black,True,Porsche,2 seats,128730.0,,309 lb-ft @ 5000 RPM,M,6-Speed Manual,RWD,97.8 in,2020
237903,--,SUV / Crossover,02090,I4,Black,--,19.8 gal,Gasoline,,248.0,Black,True,Porsche,5 seats,62240.0,,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2020
237904,,Sedan,02090,,Carrara White,,,Electric,,,Black,True,Porsche,,218330.0,,,A,2-Speed Automatic,AWD,,2020
237909,--,SUV / Crossover,02090,I4,Volcano Gray Metallic,--,19.8 gal,Gasoline,,248.0,Gray (Agate),True,Porsche,5 seats,63350.0,,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2020
237914,--,Coupe,02090,H6,Guards Red,41.6 in,16.9 gal,Gasoline,,370.0,Black,True,Porsche,4 seats,117170.0,,331 lb-ft @ 1700 RPM,M,7-Speed Manual,RWD,96.5 in,2019
237916,--,Coupe,02090,H6,Agate Gray Metallic,41.6 in,17.9 gal,Gasoline,,580.0,Black,True,Porsche,4 seats,204150.0,,,A,7-Speed Automatic,AWD,96.5 in,2019
237919,--,Sedan,02090,V6,Volcano Gray Metallic,--,23.7 gal,Gasoline,,440.0,Black,True,Porsche,4 seats,128770.0,,405 lb-ft @ 1750 RPM,A,8-Speed Automatic,AWD,116.1 in,2018
237920,,Sedan,02090,,carrara white metallic,,,Electric,,,White,True,Porsche,,218580.0,,,A,2-Speed Automatic,AWD,,2020
237924,--,SUV / Crossover,02090,I4,Black,--,19.8 gal,Gasoline,,248.0,Black,True,Porsche,5 seats,64410.0,,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2020
237928,--,SUV / Crossover,02090,I4,Black,--,19.8 gal,Gasoline,,248.0,Gray,True,Porsche,5 seats,63770.0,,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2019
237931,--,Convertible,02090,H6,Guards Red,41.6 in,16.9 gal,Gasoline,False,255.0,Stone Gray,False,Porsche,2 seats,32990.0,False,,A,7-Speed Automatic,RWD,95.1 in,2012
237934,--,Sedan,02090,V6,Volcano Gray Metallic,--,23.7 gal,Gasoline,,440.0,Black,True,Porsche,4 seats,131870.0,,405 lb-ft @ 1750 RPM,A,8-Speed Automatic,AWD,116.1 in,2018
237937,--,SUV / Crossover,02090,I4,night blue metallic,--,19.8 gal,Gasoline,,248.0,Black,True,Porsche,5 seats,65380.0,,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2020
237938,--,SUV / Crossover,02090,I4,Black,--,19.8 gal,Gasoline,,248.0,Brown (beige),True,Porsche,5 seats,65840.0,,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2020
237939,,Coupe,02090,H6,Jet Black Metallic,,,Gasoline,,,Black,True,Porsche,,133770.0,,,A,8-Speed Automatic,,,2020
237944,--,Coupe,02090,H6,Guards Red,41.6 in,16.9 gal,Gasoline,False,370.0,Black,True,Porsche,4 seats,129980.0,False,331 lb-ft @ 1700 RPM,A,7-Speed Automatic,RWD,96.5 in,2018
237946,,Coupe,02090,H6,Black,,,Gasoline,,,Black,True,Porsche,,135630.0,,,A,8-Speed Automatic,,,2020
237954,--,SUV / Crossover,02090,I4,night blue metallic,--,19.8 gal,Gasoline,,248.0,Black,True,Porsche,5 seats,65950.0,,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2020
237955,--,Coupe,02090,H4,night blue metallic,41.6 in,14.2 gal,Gasoline,,300.0,Gray,True,Porsche,2 seats,72480.0,,280 lb-ft @ 1950 RPM,A,7-Speed Automatic,RWD,97.4 in,2019
