,back_legroom,body_type,dealer_zip,engine_type,exterior_color,front_legroom,fuel_tank_volume,fuel_type,has_accidents,horsepower,interior_color,is_new,make_name,maximum_seating,price,theft_title,torque,transmission,transmission_display,wheel_system,wheelbase,year
237962,--,Convertible,02090,H6,Jet Black Metallic,41.6 in,17.9 gal,Gasoline,,580.0,Black,True,Porsche,4 seats,224320.0,,,A,7-Speed Automatic,AWD,96.5 in,2019
237965,--,Coupe,02090,H6,Graphite Blue Metallic,41.6 in,16.9 gal,Gasoline,False,420.0,Black,False,Porsche,4 seats,109991.0,False,368 lb-ft @ 1700 RPM,A,7-Speed Automatic,AWD,96.5 in,2017
237967,--,SUV / Crossover,02090,V6,Quartzite Metallic,--,23.7 gal,Gasoline,,340.0,Brown,True,Porsche,5 seats,78410.0,,331 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2019
237968,--,SUV / Crossover,02090,V6,Jet Black Metallic,--,19.8 gal,Gasoline,,348.0,Gray,True,Porsche,5 seats,77320.0,,352 lb-ft @ 1360 RPM,A,7-Speed Automatic,AWD,110.5 in,2020
237975,--,SUV / Crossover,02090,V6,Night Blue Metallic,--,19.8 gal,Gasoline,False,340.0,Agate Gray/Pebble Gray,False,Porsche,5 seats,48990.0,False,339 lb-ft @ 1450 RPM,A,7-Speed Automatic,AWD,110.5 in,2017
237979,--,SUV / Crossover,02090,V6,Chalk,--,19.8 gal,Gasoline,False,348.0,Black/Garnet Red,False,Porsche,5 seats,69991.0,False,352 lb-ft @ 1360 RPM,A,7-Speed Automatic,AWD,110.5 in,2020
237980,--,SUV / Crossover,02090,V6,Silver Metallic,--,23.7 gal,Gasoline,,340.0,Slate Gray,True,Porsche,5 seats,79430.0,,331 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2019
237981,--,SUV / Crossover,02090,V6,2,--,23.7 gal,Gasoline,,340.0,Black,True,Porsche,5 seats,80200.0,,331 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2019
237987,,SUV / Crossover,02090,,night blue metallic,,,,False,,Black/Luxor Beige,False,Porsche,,44999.0,False,,A,7-Speed Automatic,,,2018
237988,--,SUV / Crossover,02090,V6,Blue Metallic,--,23.7 gal,Gasoline,False,340.0,Gray,True,Porsche,5 seats,80800.0,False,331 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2019
237990,--,SUV / Crossover,02090,V6,White,--,19.8 gal,Gasoline,False,360.0,Garnet Red/Black,False,Porsche,5 seats,68991.0,False,369 lb-ft @ 1650 RPM,A,7-Speed Automatic,AWD,110.5 in,2018
237991,--,SUV / Crossover,02090,V6,mahogany metallic,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,82630.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
238003,--,SUV / Crossover,02090,V6,Quartzite Gray Metallic,--,23.7 gal,Gasoline,,335.0,Black,True,Porsche,5 seats,82630.0,,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
238005,--,Coupe,02090,H4,White,41.6 in,16.9 gal,Gasoline,,350.0,Black,True,Porsche,2 seats,83740.0,,309 lb-ft @ 1900 RPM,M,6-Speed Manual,RWD,97.4 in,2019
238802,--,SUV / Crossover,02301,V6,BLACK,67 in,26.4 gal,Gasoline,False,300.0,Brown (BEIGE),False,Porsche,5 seats,34980.0,False,295 lb-ft @ 3000 RPM,A,8-Speed Automatic,AWD,114 in,2016
240027,--,Coupe,01545,H6,White,41.6 in,16.9 gal,Gasoline,False,420.0,Black,False,Porsche,4 seats,98895.0,False,368 lb-ft @ 1700 RPM,A,Automatic,AWD,96.5 in,2018
240211,,SUV / Crossover,01545,V6,Purple,,,Gasoline,False,,Brown (Beige),False,Porsche,,52895.0,False,,A,Automatic,,,2018
241517,,Coupe,02840,,Silver,,,,False,,Black,False,Porsche,,35999.0,False,,M,Manual,,,1957
247632,--,SUV / Crossover,02891,V6,Quartzite Gray Metallic,--,23.7 gal,Gasoline,False,335.0,Black w/Leather Seat Trim,False,Porsche,5 seats,69083.0,False,332 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2020
250170,--,SUV / Crossover,02886,V6,Carrara White Metallic,--,19.8 gal,Gasoline,False,400.0,Black/Garnet Red,False,Porsche,5 seats,51995.0,False,406 lb-ft @ 1350 RPM,A,7-Speed Automatic,AWD,110.5 in,2017
252029,--,SUV / Crossover,01760,I4,Blue,--,19.8 gal,Gasoline,False,248.0,None,False,Porsche,5 seats,49998.0,False,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2019
257807,--,SUV / Crossover,49202,V6,Black,--,19.8 gal,Gasoline,False,360.0,Brown (Tan),False,Porsche,5 seats,42900.0,False,369 lb-ft @ 1650 RPM,A,Automatic,AWD,110.5 in,2017
259211,33.3 in,Sedan,06114,V6,White,41.9 in,26.4 gal,Gasoline,False,300.0,Black,False,Porsche,4 seats,20999.0,False,295 lb-ft @ 3750 RPM,M,7-Speed Manual,AWD,114.9 in,2012
261170,--,Coupe,12205,H6,White,41.6 in,16.9 gal,Gasoline,False,400.0,Black,False,Porsche,4 seats,69990.0,False,325 lb-ft @ 5600 RPM,A,7-Speed Automatic,RWD,96.5 in,2014
261248,--,Convertible,06062,H6,Gray,41.6 in,16 gal,Gasoline,False,315.0,None,False,Porsche,4 seats,28995.0,False,273 lb-ft @ 4250 RPM,M,Manual,RWD,92.6 in,2003
261352,--,Convertible,06062,H6,Basalt Black Metallic,41.6 in,16 gal,Gasoline,False,240.0,Black,False,Porsche,2 seats,18995.0,False,199 lb-ft @ 4700 RPM,A,Automatic,RWD,95.1 in,2005
262901,--,SUV / Crossover,48917,I4,White,--,19.8 gal,Gasoline,False,252.0,Saddle Brown,False,Porsche,5 seats,45400.0,False,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2018
262903,,Coupe,03743,,RED,,,,False,,None,False,Porsche,,47877.0,False,,M,Manual,,,1976
263033,--,SUV / Crossover,48906,V6,BLUE,67 in,26.4 gal,Gasoline,False,300.0,None,False,Porsche,5 seats,17995.0,False,295 lb-ft @ 3000 RPM,A,Automatic,AWD,114 in,2013
265433,--,Convertible,01950,H6,Red,41.6 in,15 gal,Gasoline,False,201.0,Gray,False,Porsche,2 seats,10900.0,False,181 lb-ft @ 4500 RPM,A,Automatic,RWD,95.2 in,1998
267652,--,Convertible,03079,H6,None,41.6 in,16 gal,Gasoline,False,315.0,None,False,Porsche,4 seats,29995.0,False,273 lb-ft @ 4250 RPM,M,6-Speed Manual,RWD,92.5 in,2004
